metric_id
addsstable.applications
addsstable.copies
addsstable.proposals
admission.io.overload
capacity
capacity.available
capacity.reserved
capacity.used
exec.error
exec.latency
exec.success
gcbytesage
gossip.bytes.received
gossip.bytes.sent
gossip.connections.incoming
gossip.connections.outgoing
gossip.connections.refused
gossip.infos.received
gossip.infos.sent
intentage
intentbytes
intentcount
keybytes
keycount
leases.epoch
leases.error
leases.expiration
leases.success
leases.transfers.error
leases.transfers.success
livebytes
livecount
liveness.epochincrements
liveness.heartbeatfailures
liveness.heartbeatlatency
liveness.heartbeatsuccesses
liveness.livenodes
node-id
queue.consistency.pending
queue.consistency.process.failure
queue.consistency.process.success
queue.consistency.processingnanos
queue.gc.info.abortspanconsidered
queue.gc.info.abortspangcnum
queue.gc.info.abortspanscanned
queue.gc.info.clearrangefailed
queue.gc.info.clearrangesuccess
queue.gc.info.intentsconsidered
queue.gc.info.intenttxns
queue.gc.info.numkeysaffected
queue.gc.info.pushtxn
queue.gc.info.resolvesuccess
queue.gc.info.resolvetotal
queue.gc.info.transactionspangcaborted
queue.gc.info.transactionspangccommitted
queue.gc.info.transactionspangcpending
queue.gc.info.transactionspanscanned
queue.gc.pending
queue.gc.process.failure
queue.gc.process.success
queue.gc.processingnanos
queue.raftlog.pending
queue.raftlog.process.failure
queue.raftlog.process.success
queue.raftlog.processingnanos
queue.raftsnapshot.pending
queue.raftsnapshot.process.failure
queue.raftsnapshot.process.success
queue.raftsnapshot.processingnanos
queue.replicagc.pending
queue.replicagc.process.failure
queue.replicagc.process.success
queue.replicagc.processingnanos
queue.replicagc.removereplica
queue.replicate.addreplica
queue.replicate.addreplica.error
queue.replicate.addreplica.success
queue.replicate.pending
queue.replicate.process.failure
queue.replicate.process.success
queue.replicate.processingnanos
queue.replicate.purgatory
queue.replicate.rebalancereplica
queue.replicate.removedeadreplica
queue.replicate.removedeadreplica.error
queue.replicate.removedeadreplica.success
queue.replicate.removedecommissioningreplica.error
queue.replicate.removedecommissioningreplica.success
queue.replicate.removereplica
queue.replicate.removereplica.error
queue.replicate.removereplica.success
queue.replicate.replacedeadreplica.error
queue.replicate.replacedeadreplica.success
queue.replicate.replacedecommissioningreplica.error
queue.replicate.replacedecommissioningreplica.success
queue.replicate.transferlease
queue.split.pending
queue.split.process.failure
queue.split.process.success
queue.split.processingnanos
queue.tsmaintenance.pending
queue.tsmaintenance.process.failure
queue.tsmaintenance.process.success
queue.tsmaintenance.processingnanos
raft.commandsapplied
raft.heartbeats.pending
raft.process.commandcommit.latency
raft.process.logcommit.latency
raft.process.tickingnanos
raft.process.workingnanos
raft.rcvd.app
raft.rcvd.appresp
raft.rcvd.dropped
raft.rcvd.heartbeat
raft.rcvd.heartbeatresp
raft.rcvd.prevote
raft.rcvd.prevoteresp
raft.rcvd.prop
raft.rcvd.snap
raft.rcvd.timeoutnow
raft.rcvd.transferleader
raft.rcvd.vote
raft.rcvd.voteresp
raft.ticks
raftlog.behind
raftlog.truncated
range.adds
range.merges
range.raftleadertransfers
range.removes
range.snapshots.generated
range.snapshots.rcvd-bytes
range.snapshots.rebalancing.rcvd-bytes
range.snapshots.rebalancing.sent-bytes
range.snapshots.recovery.rcvd-bytes
range.snapshots.recovery.sent-bytes
range.snapshots.recv-in-progress
range.snapshots.recv-queue
range.snapshots.recv-total-in-progress
range.snapshots.send-in-progress
range.snapshots.send-queue
range.snapshots.send-total-in-progress
range.snapshots.sent-bytes
range.snapshots.unknown.rcvd-bytes
